[T:366028] LOCAL | ACC: 41.99 77.64 -991.94 | GYRO: 7.56 29.84 -2.02
[T:386084] LOCAL | ACC: 41.99 84.96 -988.53 | GYRO: 7.83 28.80 -1.34
[T:406123] LOCAL | ACC: 41.50 84.72 -984.38 | GYRO: 7.94 28.48 -1.38
[T:426168] LOCAL | ACC: 41.02 84.47 -987.06 | GYRO: 7.70 29.03 -1.52
[T:446223] LOCAL | ACC: 40.53 77.88 -987.79 | GYRO: 8.09 29.47 -0.80
[T:466262] LOCAL | ACC: 42.24 82.76 -984.62 | GYRO: 8.45 28.55 -0.80
[T:486306] LOCAL | ACC: 44.43 79.35 -983.64 | GYRO: 8.00 28.48 -0.31
[T:506351] LOCAL | ACC: 41.99 77.88 -988.28 | GYRO: 8.05 28.67 -1.42
[T:526400] LOCAL | ACC: 40.53 85.69 -995.85 | GYRO: 8.25 29.06 -1.58
[T:25985] LOCAL | ACC: 38.57 77.39 -987.79 | GYRO: 8.08 28.81 -2.34
[T:25012] LOCAL | ACC: 0.0024 0.0053 -0.0601 | GYR: 0.4678 1.7607 -0.0448
[T:45012] LOCAL | ACC: 0.0024 0.0052 -0.0598 | GYR: 0.4335 1.7635 -0.0905
[T:65018] LOCAL | ACC: 0.0022 0.0052 -0.0607 | GYR: 0.4449 1.6940 -0.0981
[T:85017] LOCAL | ACC: 0.0023 0.0052 -0.0602 | GYR: 0.4878 1.6778 -0.0753
[T:105014] LOCAL | ACC: 0.0023 0.0048 -0.0602 | GYR: 0.1372 1.7521 -0.1067
[T:125019] LOCAL | ACC: 0.0024 0.0048 -0.0603 | GYR: 0.2830 1.7464 -0.0629
[T:145019] LOCAL | ACC: 0.0024 0.0052 -0.0603 | GYR: 0.2534 1.7902 -0.1162
[T:165017] LOCAL | ACC: 0.0023 0.0049 -0.0601 | GYR: 0.2849 1.7807 -0.1010
[T:185021] LOCAL | ACC: 0.0024 0.0048 -0.0602 | GYR: 0.3449 1.7454 -0.1324
[T:205027] LOCAL | ACC: 0.0025 0.0052 -0.0601 | GYR: 0.3306 1.7664 -0.0848
[T:225029] LOCAL | ACC: 0.0024 0.0049 -0.0603 | GYR: 0.3201 1.7464 -0.0657
[T:245027] LOCAL | ACC: 0.0024 0.0048 -0.0602 | GYR: 0.3363 1.7530 -0.0972
[T:265027] LOCAL | ACC: 0.0025 0.0052 -0.0602 | GYR: 0.3020 1.7273 -0.1010
[T:285034] LOCAL | ACC: 0.0014 0.0048 -0.0597 | GYR: 0.3697 1.6511 -0.1172
[T:305032] LOCAL | ACC: 0.0023 0.0048 -0.0604 | GYR: 0.3821 1.7635 -0.1086
[T:325027] LOCAL | ACC: 0.0024 0.0047 -0.0603 | GYR: 0.3830 1.7540 -0.1067
[T:345033] LOCAL | ACC: 0.0025 0.0052 -0.0601 | GYR: 0.4049 1.7330 -0.1200
[T:365031] LOCAL | ACC: 0.0023 0.0048 -0.0598 | GYR: 0.3982 1.7216 -0.0953
[T:385042] LOCAL | ACC: 0.0025 0.0047 -0.0601 | GYR: 0.4011 1.7359 -0.0810
[T:405129] LOCAL | ACC: 0.0025 0.0048 -0.0602 | GYR: 0.4430 1.7045 -0.0657
[T:425096] LOCAL | ACC: 0.0023 0.0047 -0.0604 | GYR: 0.4268 1.7369 -0.0934
[T:445038] LOCAL | ACC: 0.0023 0.0047 -0.0605 | GYR: 0.4611 1.6721 -0.0734
[T:465039] LOCAL | ACC: 0.0023 0.0051 -0.0602 | GYR: 0.4335 1.7321 -0.1019
[T:485043] LOCAL | ACC: 0.0024 0.0048 -0.0602 | GYR: 0.4173 1.7330 -0.1038
[T:505105] LOCAL | ACC: 0.0025 0.0048 -0.0601 | GYR: 0.4278 1.7731 -0.1591
[T:525041] LOCAL | ACC: 0.0025 0.0050 -0.0603 | GYR: 0.4154 1.6968 -0.0667
[T:25013] LOCAL | ACC: 0.0024 0.0049 -0.0600 | GYR: 0.4830 1.6797 -0.0753
[T:45015] LOCAL | ACC: 0.0021 0.0049 -0.0602 | GYR: 0.4325 1.6663 -0.1220
[T:65020] LOCAL | ACC: 0.0022 0.0049 -0.0601 | GYR: 0.4697 1.7502 -0.0372
[T:85019] LOCAL | ACC: 0.0023 0.0049 -0.0602 | GYR: 0.4830 1.7073 -0.0848
[T:105022] LOCAL | ACC: 0.0024 0.0050 -0.0602 | GYR: 0.4926 1.7054 -0.0886
[T:125016] LOCAL | ACC: 0.0023 0.0049 -0.0601 | GYR: 0.4935 1.7149 -0.0638
[T:145019] LOCAL | ACC: 0.0024 0.0048 -0.0600 | GYR: 0.4983 1.6959 -0.0753
[T:165026] LOCAL | ACC: 0.0025 0.0048 -0.0602 | GYR: 0.4811 1.6864 -0.0953
[T:185028] LOCAL | ACC: 0.0024 0.0048 -0.0603 | GYR: 0.4468 1.7102 -0.0476
[T:205026] LOCAL | ACC: 0.0023 0.0048 -0.0602 | GYR: 0.5107 1.7245 -0.0276
[T:225025] LOCAL | ACC: 0.0024 0.0048 -0.0603 | GYR: 0.4888 1.7054 -0.0896
[T:245060] LOCAL | ACC: 0.0023 0.0048 -0.0606 | GYR: 0.4792 1.6616 -0.1124
[T:265034] LOCAL | ACC: 0.0024 0.0048 -0.0602 | GYR: 0.4716 1.6949 -0.1105
[T:285031] LOCAL | ACC: 0.0025 0.0048 -0.0602 | GYR: 0.5154 1.6540 -0.0838
[T:305087] LOCAL | ACC: 0.0024 0.0048 -0.0600 | GYR: 0.4707 1.6845 -0.0476
[T:325110] LOCAL | ACC: 0.0024 0.0052 -0.0605 | GYR: 0.5192 1.6806 -0.0448
[T:345040] LOCAL | ACC: 0.0025 0.0047 -0.0601 | GYR: 0.5116 1.6778 -0.0581
[T:365037] LOCAL | ACC: 0.0024 0.0049 -0.0603 | GYR: 0.5183 1.7178 -0.0638
[T:385080] LOCAL | ACC: 0.0023 0.0048 -0.0601 | GYR: 0.5316 1.7111 -0.0629
[T:405041] LOCAL | ACC: 0.0023 0.0050 -0.0602 | GYR: 0.5011 1.6482 -0.0372
[T:425034] LOCAL | ACC: 0.0023 0.0048 -0.0603 | GYR: 0.5526 1.7254 -0.1029
[T:445039] LOCAL | ACC: 0.0025 0.0050 -0.0602 | GYR: 0.4945 1.7588 -0.0572
[T:465037] LOCAL | ACC: 0.0022 0.0047 -0.0600 | GYR: 0.4821 1.6768 -0.0810
[T:25008] LOCAL | ACC: 0.0021 0.0048 -0.0600 | GYR: 0.3944 1.7264 -0.0638
[T:45010] LOCAL | ACC: 0.0021 0.0049 -0.0602 | GYR: 0.4440 1.6120 -0.0400
[T:65019] LOCAL | ACC: 0.0023 0.0049 -0.0600 | GYR: 0.4345 1.7083 -0.0867
[T:85014] LOCAL | ACC: 0.0023 0.0049 -0.0602 | GYR: 0.4421 1.6883 -0.0829
[T:105012] LOCAL | ACC: 0.0021 0.0049 -0.0604 | GYR: 0.4754 1.6845 -0.0829
[T:25013] LOCAL | ACC: 0.0022 0.0050 -0.0603 | GYR: 0.4163 1.7454 -0.0829
[T:45012] LOCAL | ACC: 0.0022 0.0050 -0.0601 | GYR: 0.3468 1.7035 -0.1048
[T:65019] LOCAL | ACC: 0.0023 0.0050 -0.0602 | GYR: 0.3678 1.7759 -0.1362
[T:85016] LOCAL | ACC: 0.0022 0.0049 -0.0604 | GYR: 0.3754 1.7216 -0.1019
[T:105018] LOCAL | ACC: 0.0022 0.0050 -0.0602 | GYR: 0.4364 1.7359 -0.0724
[T:125019] LOCAL | ACC: 0.0022 0.0049 -0.0602 | GYR: 0.4287 1.7416 -0.0638
[T:145024] LOCAL | ACC: 0.0021 0.0049 -0.0604 | GYR: 0.4325 1.6721 -0.1267
[T:165025] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.4097 1.6864 -0.0886
