[2026-04-07 22:11:48] LOCAL | ACC: 41.99 77.64 -991.94 | GYRO: 7.56 29.84 -2.02
[2026-04-07 22:12:08] LOCAL | ACC: 41.99 84.96 -988.53 | GYRO: 7.83 28.80 -1.34
[2026-04-07 22:12:28] LOCAL | ACC: 41.50 84.72 -984.38 | GYRO: 7.94 28.48 -1.38
[2026-04-07 22:12:48] LOCAL | ACC: 41.02 84.47 -987.06 | GYRO: 7.70 29.03 -1.52
[2026-04-07 22:13:08] LOCAL | ACC: 40.53 77.88 -987.79 | GYRO: 8.09 29.47 -0.80
[2026-04-07 22:13:28] LOCAL | ACC: 42.24 82.76 -984.62 | GYRO: 8.45 28.55 -0.80
[2026-04-07 22:13:48] LOCAL | ACC: 44.43 79.35 -983.64 | GYRO: 8.00 28.48 -0.31
[2026-04-07 22:14:08] LOCAL | ACC: 41.99 77.88 -988.28 | GYRO: 8.05 28.67 -1.42
[2026-04-07 22:14:28] LOCAL | ACC: 40.53 85.69 -995.85 | GYRO: 8.25 29.06 -1.58
[2026-04-07 22:06:07] LOCAL | ACC: 38.57 77.39 -987.79 | GYRO: 8.08 28.81 -2.34
[2026-04-07 22:06:06] LOCAL | ACC: 0.0024 0.0053 -0.0601 | GYR: 0.4678 1.7607 -0.0448
[2026-04-07 22:06:26] LOCAL | ACC: 0.0024 0.0052 -0.0598 | GYR: 0.4335 1.7635 -0.0905
[2026-04-07 22:06:46] LOCAL | ACC: 0.0022 0.0052 -0.0607 | GYR: 0.4449 1.6940 -0.0981
[2026-04-07 22:07:06] LOCAL | ACC: 0.0023 0.0052 -0.0602 | GYR: 0.4878 1.6778 -0.0753
[2026-04-07 22:07:26] LOCAL | ACC: 0.0023 0.0048 -0.0602 | GYR: 0.1372 1.7521 -0.1067
[2026-04-07 22:07:46] LOCAL | ACC: 0.0024 0.0048 -0.0603 | GYR: 0.2830 1.7464 -0.0629
[2026-04-07 22:08:06] LOCAL | ACC: 0.0024 0.0052 -0.0603 | GYR: 0.2534 1.7902 -0.1162
[2026-04-07 22:08:26] LOCAL | ACC: 0.0023 0.0049 -0.0601 | GYR: 0.2849 1.7807 -0.1010
[2026-04-07 22:08:46] LOCAL | ACC: 0.0024 0.0048 -0.0602 | GYR: 0.3449 1.7454 -0.1324
[2026-04-07 22:09:06] LOCAL | ACC: 0.0025 0.0052 -0.0601 | GYR: 0.3306 1.7664 -0.0848
[2026-04-07 22:09:27] LOCAL | ACC: 0.0024 0.0049 -0.0603 | GYR: 0.3201 1.7464 -0.0657
[2026-04-07 22:09:46] LOCAL | ACC: 0.0024 0.0048 -0.0602 | GYR: 0.3363 1.7530 -0.0972
[2026-04-07 22:10:06] LOCAL | ACC: 0.0025 0.0052 -0.0602 | GYR: 0.3020 1.7273 -0.1010
[2026-04-07 22:10:27] LOCAL | ACC: 0.0014 0.0048 -0.0597 | GYR: 0.3697 1.6511 -0.1172
[2026-04-07 22:10:47] LOCAL | ACC: 0.0023 0.0048 -0.0604 | GYR: 0.3821 1.7635 -0.1086
[2026-04-07 22:11:06] LOCAL | ACC: 0.0024 0.0047 -0.0603 | GYR: 0.3830 1.7540 -0.1067
[2026-04-07 22:11:27] LOCAL | ACC: 0.0025 0.0052 -0.0601 | GYR: 0.4049 1.7330 -0.1200
[2026-04-07 22:11:47] LOCAL | ACC: 0.0023 0.0048 -0.0598 | GYR: 0.3982 1.7216 -0.0953
[2026-04-07 22:12:07] LOCAL | ACC: 0.0025 0.0047 -0.0601 | GYR: 0.4011 1.7359 -0.0810
[2026-04-07 22:12:27] LOCAL | ACC: 0.0025 0.0048 -0.0602 | GYR: 0.4430 1.7045 -0.0657
[2026-04-07 22:12:47] LOCAL | ACC: 0.0023 0.0047 -0.0604 | GYR: 0.4268 1.7369 -0.0934
[2026-04-07 22:13:07] LOCAL | ACC: 0.0023 0.0047 -0.0605 | GYR: 0.4611 1.6721 -0.0734
[2026-04-07 22:13:27] LOCAL | ACC: 0.0023 0.0051 -0.0602 | GYR: 0.4335 1.7321 -0.1019
